ID,Name,Sex,Age,Height,Weight,Team,NOC,Region,Region (ISO),Games,Year,Season,City,Host country,Host country (ISO),Sport,Event,Medal
1773,Ahmad Al-Afasi,M,33.0,,,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,BRA,Shooting,Shooting Men's Double Trap,
1858,Fehaid Al-Deehani,M,49.0,178.0,95.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,BRA,Shooting,Shooting Men's Double Trap,Gold
1897,Abdulrahman Al-Faihan,M,30.0,,,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,BRA,Shooting,Shooting Men's Trap,
2053,Khaled Al-Mudhaf,M,38.0,164.0,105.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,BRA,Shooting,Shooting Men's Trap,
2112,Abdullah Al-Rashidi,M,52.0,183.0,83.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,BRA,Shooting,Shooting Men's Skeet,Bronze
2161,Abdulaziz Al-Shatti,M,25.0,,,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,BRA,Fencing,"Fencing Men's epee, Individual",
2277,Darija Alauf,F,23.0,,,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Swimming,Swimming Women's 100 metres Backstroke,
2277,Darija Alauf,F,23.0,,,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Swimming,Swimming Women's 200 metres Backstroke,
3302,Aguida Fatima Amaral,F,28.0,148.0,43.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,2000 Summer,2000,Summer,Sydney,Australia,AUS,Athletics,Athletics Women's Marathon,
3515,Paulo Amotun Lokoro,M,24.0,170.0,61.0,Refugee Olympic Athletes,ROT,,,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,BRA,Athletics,"Athletics Men's 1,500 metres",
4379,Rami Anis,M,25.0,178.0,78.0,Refugee Olympic Athletes,ROT,,,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,BRA,Swimming,Swimming Men's 100 metres Freestyle,
4379,Rami Anis,M,25.0,178.0,78.0,Refugee Olympic Athletes,ROT,,,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,BRA,Swimming,Swimming Men's 100 metres Butterfly,
7534,Vladimir Banjanac,M,25.0,187.0,83.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Rowing,Rowing Men's Coxless Pairs,
11364,Yiech Pur Biel,M,21.0,178.0,62.0,Refugee Olympic Athletes,ROT,,,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,BRA,Athletics,Athletics Men's 800 metres,
11592,Aranka Binder,F,26.0,163.0,47.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Shooting,"Shooting Women's Air Rifle, 10 metres",Bronze
13173,Liemarvin Bonevacia,M,23.0,185.0,74.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,2012 Summer,2012,Summer,London,United Kingdom,GBR,Athletics,Athletics Men's 400 metres,
14684,Slobodan Brankovi,M,24.0,190.0,82.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Athletics,Athletics Men's 400 metres,
15205,Mio Brkovi,M,24.0,186.0,80.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Cycling,Cycling Men's 100 kilometres Team Time Trial,
16287,Mabika Yolande Bukasa,F,28.0,170.0,70.0,Refugee Olympic Athletes,ROT,,,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,BRA,Judo,Judo Women's Middleweight,
20693,James Nyang Chiengjiek,M,24.0,179.0,59.0,Refugee Olympic Athletes,ROT,,,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,BRA,Athletics,Athletics Men's 400 metres,
21666,Suzana iri,F,23.0,164.0,47.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Athletics,"Athletics Women's 10,000 metres",
24163,Radia ubri,M,30.0,,,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Cycling,"Cycling Men's Road Race, Individual",
24638,Calisto da Costa,M,21.0,162.0,52.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,2000 Summer,2000,Summer,Sydney,Australia,AUS,Athletics,Athletics Men's Marathon,
25884,Martinho de Araujo,M,27.0,149.0,56.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,2000 Summer,2000,Summer,Sydney,Australia,AUS,Weightlifting,Weightlifting Men's Bantamweight,
26790,Reginald de Windt,M,28.0,178.0,81.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,2012 Summer,2012,Summer,London,United Kingdom,GBR,Judo,Judo Men's Half-Middleweight,
29840,Milan orevi,M,23.0,176.0,65.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Canoeing,"Canoeing Men's Kayak Singles, Slalom",
