Columna,Moda,Moda (#),Moda (%),Total de valores,Valores unicos (#),Valores unicos (%),Valores nulos (%)
Name,Robert Tait McKenzie,58,"0,026061324993709334",222552,116122,"52,17746863654337","0,0"
Sex,M,163109,"73,29028721377476",222552,2,"0,0008986663790934254","0,0"
Team,United States,14526,"6,5270139113555485",222552,1157,"0,5198785003055466","0,0"
NOC,USA,15064,"6,768755167331681",222552,230,"0,10334663359574392","0,0"
Region,United States of America,15064,"6,768755167331681",222538,208,"0,09346130342571624","0,006290664653653977"
Region (ISO),USA,15064,"6,768755167331681",222445,207,"0,09301197023616953","0,048078651281498255"
Games,2000 Summer,13821,"6,210234012725116",222552,29,"0,013030662496854667","0,0"
Season,Summer,222552,"100,0",222552,1,"0,0004493331895467127","0,0"
City,London,22426,"10,076746108774579",222552,23,"0,010334663359574392","0,0"
Host Country,United States of America,27504,"12,358460045292786",222552,19,"0,008537330601387541","0,0"
Host Country (ISO),USA,27504,"12,358460045292786",222552,19,"0,008537330601387541","0,0"
Sport,Athletics,38624,"17,35504511305223",222552,52,"0,02336532585642906","0,0"
Event,Football Men's Football,5733,"2,5760271756713036",222552,651,"0,29251590639491","0,0"
Medal,Gold,11459,"5,148909019015781",34088,3,"0,001347999568640138","84,68313023473166"
