Columna,Moda,Moda (#),Moda (%),Total de valores,Valores unicos (#),Valores unicos (%),Valores nulos (%)
Name,Ole Einar Bjrndalen,27,"0,05559673832468495",48564,18923,"38,96507701177827","0,0"
Sex,M,33485,"68,9502512148917",48564,2,"0,004118276912939626","0,0"
Team,United States,3321,"6,838398813936249",48564,221,"0,4550695988798287","0,0"
NOC,USA,3789,"7,802075611564121",48564,119,"0,24503747631990777","0,0"
Region,United States of America,3789,"7,802075611564121",48564,112,"0,23062350712461907","0,0"
Region (ISO),USA,3789,"7,802075611564121",48563,111,"0,22856436866814925","0,002059138456469813"
Games,2014 Winter,4891,"10,071246190593856",48564,22,"0,04530104604233589","0,0"
Season,Winter,48564,"100,0",48564,1,"0,002059138456469813","0,0"
City,Sochi,4891,"10,071246190593856",48564,19,"0,03912363067292645","0,0"
Host Country,United States of America,7323,"15,07907091672844",48564,11,"0,022650523021167945","0,0"
Host Country (ISO),USA,7323,"15,07907091672844",48564,11,"0,022650523021167945","0,0"
Sport,Cross Country Skiing,9133,"18,806111522938803",48564,17,"0,035005353759986826","0,0"
Event,Ice Hockey Men's Ice Hockey,4702,"9,68206902232106",48564,119,"0,24503747631990777","0,0"
Medal,Gold,1913,"3,939131867226752",5695,3,"0,006177415369409439","88,2732064904044"
